czone,czname,kfr_pooled_pooled_p25,emp_ch,wage_ch,bartikInst
7000,Miami,.40504864,.016764296,.014186301,.0062597627
7100,Port St. Lucie,.38502336,.019340338,.011343641,.0071037989
7200,Cape Coral,.39371625,.024642641,.010191265,.0075451881
7300,Palm Bay,.38551632,.00843924,.021698415,.0074860128
7400,Orlando,.38519341,.022021974,.012021893,.0062281601
7500,Deltona,.3813777,.0072976165,.023196869,.0060133454
7600,Jacksonville,.35846871,.012722519,.020116247,.0056813485
7700,Lake City,.36636043,.011151214,.025706733,.0058288779
7800,Ocala,.38034263,.015569231,.019515414,.0058455192
7900,Gainesville,.37049353,.0081528397,.032373454,.0098029142
8000,Sumter,.35591859,-.0049583893,.01956683,-.0018726621
8100,Columbia,.35255003,.008807824,.019064687,.0038619821
8201,Barnwell,.3332915,-.0057471078,.023290254,-.00084527628
8202,Charleston,.37090024,.02144058,.026404833,.0057601053
8300,Greenville,.3602719,-.0010142148,.018614739,-.0038875446
8401,Aiken,.3505798,.0058138766,.023696577,.0031895391
8402,Washington,.3505663,-.0094512887,.0088137025,-.0034375275
8501,Fitzgerald,.36302051,-.0044700382,.02541098,-.00019399743
8502,Cordele,.3354471,-.0046150303,.022304736,.0011397041
8503,Valdosta,.34995732,-.00069146021,.021905975,.0025719949
8601,Waycross,.36627126,.0028113751,.023570579,.00028154603
8602,Brunswick,.35089958,.0083525106,.023568992,.005432738
8701,Hinesville,.3647559,.017433276,.030211799,.0033906645
8702,Statesboro,.3583861,.0084744357,.021218231,.00044111221
8800,Savannah,.35453838,.020284325,.022591744,.0061820471
8900,Macon,.34312737,.0053522731,.017034817,.0068199979
9001,Vidalia,.36170879,.0036248926,.027522603,.002205102
9002,Milledgeville,.32767841,-.0024522378,.019039646,-.00073456339
9003,Dublin,.3474417,-.0021980728,.019703481,-.00089653517
9100,Atlanta,.35831201,.013652282,.012341215,.0026942324
9200,Griffin,.3435007,.0079750232,.011386256,-.0024956453
9301,Winder,.3634896,.0039116968,.025940429,.0036766957
9302,Toccoa,.37441453,.0042749764,.022311568,-.0032789041
9400,Gainesville,.38129568,.014875694,.019795587,-.00071064109
9500,Talladega,.36155891,-.0093096588,.022230715,-.0079028709
9600,LaGrange,.36076534,.003664375,.019179974,-.0018360317
9701,Columbus,.33625588,.0013183416,.019977542,.001942516
9702,Americus,.33938536,-.0053604976,.020531433,.0010093705
9800,Auburn,.34826723,.010736192,.021412767,.0013648445
9900,Tallahassee,.35861295,.0077272882,.020205837,.008113645
10000,Panama City,.37779117,.011220491,.019547677,.0084938304
10101,Bainbridge,.35805768,-.0052581462,.024047123,.0021994952
10102,Thomasville,.35233435,-.0052581462,.024047123,.002199214
10200,Albany,.33025992,-.0022139244,.013577919,.0048212204
10301,Eufaula,.3438344,-.00090920983,.022448206,.0014130421
10302,Dothan,.37025383,.0060843248,.027329035,.0031874478
10400,Meridian,.35587183,.0007946663,.028764596,.0019612114
10501,Columbus,.34952793,-.0069715749,.021142656,-.0035201886
10502,Starkville,.35382697,-.01043803,.019512655,-.000080647034
10600,Jasper,.38975826,.001032942,.021559818,-.0021801945
10700,Birmingham,.35959524,.0045764609,.019501979,.0028282709
10801,Tuscaloosa,.35061547,.0072003915,.023218665,.0022853571
10802,Demopolis,.36156523,-.0057009445,.017542645,-.0030540696
10900,Pensacola,.38031283,.0090378253,.023761136,.0098370882
11001,Mobile,.3653115,.011053007,.028325345,.0036508664
11002,Atmore,.36806241,-.014011934,.01636971,-.0041726795
11101,Montgomery,.34027302,.0066686487,.025372706,.0056220707
11102,Troy,.39094415,.0036981907,.025672849,.0010750617
11201,Bluefield,.41160697,-.0075608618,.02763672,.0026847159
11202,Welch,.40068176,-.0049977954,.034762029,.010070237
11203,Big Stone Gap,.39453927,.0014417683,.032501128,.0068622716
11301,Fredericksburg,.40340835,.032395609,.042810421,.007397362
11302,Baltimore,.37366968,.0080119828,.03524382,.0073277666
11303,Colonial Beach,.39458707,.0058130133,.028018735,.0049133864
11304,Washington DC,.42710686,.018104048,.037958782,.0091599906
11401,Marquette,.43518773,-.0070311464,.019317046,.0068139601
11402,Marinette,.44847134,-.0031437594,.024295611,.0013200254
11403,Sault Ste. Marie,.40374741,-.010398014,.016163385,.0043005771
11500,Jackson,.39847484,-.015416387,.0029327604,-.0023437599
11600,Detroit,.37433586,-.013772016,.0017943571,-.0013298958
11700,Lansing,.39627844,-.0099967485,.010533718,.0034447648
11800,Mount Pleasant,.40699568,-.01066776,.010712717,.0040098606
11900,Saginaw,.4013744,-.01372984,.011703244,.00057445857
12001,Big Rapids,.40272379,-.010493946,.011551946,-.00005861904
12002,Ludington,.4131304,-.0089876987,.012536158,.0023557364
12100,Kalamazoo,.38163954,-.0069918539,.013803824,.0017135961
12200,Grand Rapids,.39211106,-.0046408614,.0065162661,-.0030049945
12301,Traverse City,.41777593,-.0057777474,.012226393,.0038158551
12302,Petoskey,.41280857,-.0088588204,.011531303,.0013433221
12401,Alpena,.41597947,-.015205538,.0099747358,.0032867854
12402,Grayling charter,.40921608,-.015952356,.0087479986,.0030077561
12501,Dayton,.37457645,-.010251392,.010478349,.0011210034
12502,Washington Court House,.37798658,-.010269924,.01060461,-.0040029758
12600,Wayne,.3673375,-.013773951,.012501057,-.0028654614
12701,Cincinnati,.37405634,.0021475102,.01620312,.0025305049
12702,Maysville,.39511198,-.00079910981,.019596523,-6.8337017e-06
12800,Washington,.42426264,-.0077561829,.016602946,-.0013847522
12901,Lexington-Fayette,.3626096,.0064166179,.019863563,.0023815485
12902,Mount Sterling,.37436506,-.00079910888,.019596523,-7.0352371e-06
12903,Danville,.37214822,.0021785945,.021099895,.000030504645
13000,Elizabethtown,.40892595,.0056399927,.02828224,.0011518007
13101,Louisville,.37414894,.0044065346,.019819628,.0019279891
13102,Madison,.40509653,.0038172232,.020818407,-.00036574664
13103,Bardstown,.4229883,.0011144165,.016417177,-.003722257
13200,Owensboro,.42117462,-.0045624068,.027076649,.00036316356
13300,Findlay,.41746554,-.0075634713,.017773561,-.0042211865
13400,Lima,.43159181,-.0053184843,.016614413,-.0030281604
13501,Toledo,.39332166,-.0082802046,.0080112284,.00019443496
13502,Defiance,.4251574,-.01320731,.0068291039,-.0093252873
13600,South Bend,.3857418,-.0084250672,.015124035,-.0017276579
13700,Concord,.41908342,-.010171516,.0059714019,-.0093030548
13800,Wayne,.41535214,-.0084136473,.012054086,-.0051747533
13900,Center,.39367676,-.014148071,.0016896555,-.0056518065
14000,Muncie,.36201453,-.015597442,.010825009,-.0012154552
14100,Fort Wayne,.39679554,-.0058599468,.011954657,-.0029973045
14200,Indianapolis,.36387184,.0075764977,.015854817,.0025157158
14300,Columbus,.38666686,-.0035412516,.014341992,-.004921962
14400,Terre Haute,.40045339,-.0056019793,.023211572,.0012407387
14500,Lafayette,.41101778,-.00097572681,.019980667,.0012552436
14600,Bloomington,.40683085,-.0033214504,.023745079,.0032811211
14700,Evansville,.41432515,.002851571,.024676476,-.00063355517
14801,Olney,.4521457,-.0062549715,.03174803,.0032106854
14802,Vincennes,.42434824,-.0018129831,.032380253,.0035793076
14900,Gary,.39701176,.0023886641,.018128788,.0026017583
15000,Canton,.41237649,-.0066316468,.016163738,-.0012849719
15100,Lorain,.3862336,-.0022324892,.01517119,-.0013922791
15200,Cleveland,.3850973,-.0071825706,.012941987,.0016148671
15300,Parkersburg,.40620667,-.0062754024,.032663986,.0032632058
15400,Zanesville,.40060726,-.0013726241,.014568829,.00045698788
15500,Steubenville,.39849854,.00043212913,.030492865,.0042129597
15600,Wheeling,.444673,-.00058836176,.029828519,.0040042112
15700,Scioto,.36826134,-.0057459832,.023752796,.0028751097
15800,Athens,.38821357,-.0036488615,.029146245,.0067234575
15900,Columbus,.37252715,.0085082548,.020419518,.0048722546
16000,Mansfield,.39049962,-.008356424,.014352703,-.0045322673
16100,State College,.45395172,.0035851321,.02941679,.0040796925
16200,Altoona,.44346032,-.0018063411,.033631317,.0039799819
16300,Pittsburgh,.44154185,.0015400458,.028219428,.0049387035
16400,Youngstown,.40507573,-.010869235,.014439327,-.00052232313
16500,Erie,.41866624,-.0035777541,.021004388,.0002275561
16600,Roanoke,.38313654,.00065579894,.028219275,.0017006901
16701,Elkins,.42676643,.0011989853,.039319139,.0066285087
16702,Morgantown,.4299309,.011025837,.038800344,.0092098964
16703,Buckhannon,.43527216,.00035799545,.040536482,.0065550748
16801,Beckley,.40664884,.0053456998,.033592828,.0093037542
16802,Summersville,.42828974,.0039503914,.035484601,.0068706484
16901,Charleston,.38967568,.0017878632,.031682424,.0066607706
16902,Spencer,.42843992,-.0063166763,.032480352,.0039160517
17000,Pikeville,.39873949,.0020576303,.032457385,.0088858558
17100,Huntington,.384184,-.00061161059,.034010306,.0057029491
17200,Harrisonburg,.41926005,.010738486,.03700589,.0014384689
17300,Staunton,.40110633,.00047323797,.020454897,.0013716273
17400,Hagerstown,.41155186,.011783187,.029835587,.0021281373
17501,Cumberland,.42207155,.0063229571,.035246752,.0025027539
17502,Winchester,.41129938,.019792812,.040915262,.00025961542
17600,Charlottesville,.38923171,.014355665,.044199299,.0059288223
17700,Syracuse,.41472518,.00075725693,.029532922,.0039691278
17800,Oneonta,.43465999,-.00061334984,.028457185,.0056418176
17900,Union,.42196637,.00024563348,.021641638,.0025171263
18000,Buffalo,.4153679,-.0012007606,.023820674,.0021890921
18100,Elmira,.4257057,.00084020139,.033910718,.0037510444
18201,Olean,.43127924,-.0067911842,.026369497,.00065860117
18202,St. Marys,.4420934,-.010466246,.024860382,-.0033126143
18300,Watertown,.42656168,.0056895791,.033296362,.0067590796
18400,Plattsburgh,.42677188,.00093180768,.030210698,.00660682
18500,Amsterdam,.41716194,-.0012494489,.024729757,.0010294567
18600,Albany,.43409684,.0047061322,.029618636,.0062289583
18700,Sunbury,.45459673,-.000034141907,.02947757,-.00035410942
18800,Scranton,.44602868,.0054405835,.028631024,.0026068089
18900,Williamsport,.43991405,-.0033032591,.022499828,-.0013755867
19000,Allentown,.43551636,.006753027,.025576815,.00092262821
19100,Reading,.43780848,.0050979406,.021960404,-.00045150658
19200,Harrisburg,.42083561,.0074592787,.027214043,.0021973064
19300,Poughkeepsie,.4275119,.0088499431,.027965821,.0044657462
19400,New York,.44029236,.014172811,.029352734,.0080319149
19500,Toms River,.45013791,.0063423449,.02216983,.0055704941
19600,Newark,.4457835,.0063525937,.025155207,.0041601951
19700,Philadelphia,.40170553,.006332926,.026569564,.0060012955
19800,Wilmington,.36832771,.0056114029,.021464352,.0060596652
19901,Dover,.38159886,.014681445,.029799033,.0070909285
19902,Easton,.3922514,.010224623,.033283882,.0044617988
19903,Chincoteague,.38804114,.0058130152,.028018735,.0049134502
20001,Bangor,.41223091,-.00082878798,.02230146,.0051565063
20002,Calais,.38677147,-.0019281531,.035611402,.005687715
20003,Presque Isle,.42492354,-.0019281536,.035611402,.005687023
20100,Portland,.41843936,.0025056603,.029749677,.0040253345
20200,Burlington,.43774584,.001596143,.032627482,.0053397897
20301,Berlin,.43548942,.0027389443,.03010161,.0038836768
20302,Claremont,.43494418,.0022811543,.030556232,.0041277842
20401,Providence,.43009904,.0015571427,.028053546,.0035946141
20402,Nantucket,.50649214,.000011302313,.044862613,.0089610629
20403,Oak Bluffs,.46154466,.000011303939,.044862613,.0089610415
20500,Boston,.45301577,.0039375476,.02652961,.0049940092
20600,Manchester,.43768525,.0054551326,.028346028,.001709568
20700,Keene,.4238891,.0022258158,.027971487,.0035156007
20800,Springfield,.41442102,-.0035982546,.027364003,.0051055136
20901,Bridgeport,.42045251,.0035098975,.021167299,.0036826911
20902,Pittsfield,.41397938,-.0085494127,.020794986,.0064507355
21001,Ashland,.46868166,-.0041114921,.02444678,.0023265078
21002,Houghton,.45473942,-.0056200316,.021235216,.0052763596
21003,Ironwood,.45546481,-.0053840596,.021976974,.0039906725
21004,Rhinelander,.45888954,-.00097218592,.020540927,.0019413461
21101,Rice Lake,.46180198,.0026567022,.028177371,.0011519446
21102,Amery,.47729334,.0056945686,.02923006,.00062382693
21201,Hutchinson,.5257718,.0034862407,.029962325,-.000047636378
21202,Redwood Falls,.55371243,.0015905086,.035170093,.0017573527
21301,Mankato,.50876868,.0051228506,.02567541,.0018550277
21302,Owatonna,.48409992,.0055811838,.023545003,.0013945753
21400,St. Cloud,.50996596,.013195218,.026086591,.0011265781
21501,Minneapolis,.45173186,.0044819652,.023024336,.0027658655
21502,Pine City,.47009778,.0082452074,.022983788,.0026445196
21600,Brainerd,.46812782,.0036756902,.02049459,.0040253685
21701,Rochester,.505207,.013083224,.036469258,.0031453802
21702,Austin,.47473431,.0061505716,.033077683,.0009297494
21801,Mason City,.48938173,-.0012553763,.029869217,.00074079557
21802,Decorah,.53875023,.00098020409,.036477052,.0016888272
21900,Marshalltown,.46003032,-.00099825638,.027458195,.00046978181
22001,Waterloo,.47025046,.0053627663,.033788078,.0024865572
22002,Iowa Falls,.50265932,-.0026329004,.029387668,.00074035331
22100,Iowa City,.46719849,.011128849,.02772142,.0062698741
22200,Cedar Rapids,.46309683,.0082201576,.030955359,.00088538672
22300,Ottumwa,.46918696,-.00068588636,.023373373,.000774101
22400,Sheboygan,.46580136,-.0004690715,.018804979,-.0049405019
22500,Oshkosh,.45977706,.0036403441,.022627171,-.0035258336
22601,Green Bay,.45662886,.0020782058,.021598995,-.0013154525
22602,Shawano,.44211182,.0015866018,.022303987,-.0010128941
22700,Wausau,.47672531,.0022595811,.023773784,.00092133658
22800,Eau Claire,.47741073,.0061933137,.024538644,.0017229443
22900,La Crosse,.4606216,.0052489019,.027908389,.0035559824
23000,Monroe,.49807236,.0035395541,.032803282,.00024535789
23100,Madison,.44204512,.012336983,.028667124,.0043976377
23200,Dubuque,.52553535,.0033366671,.035719585,.00097143301
23301,Charleston,.42311627,-.0061065452,.019345142,.00044390524
23302,Douglas,.4478648,-.0036052486,.030951981,.00039436368
23400,Bloomington,.42495623,.00083135674,.027373498,.0038700639
23500,Decatur,.40636152,-.0026648161,.023566738,.0057316278
23600,Burlington,.44325098,-.0060408101,.020134242,.000054340017
23700,Galesburg,.42261109,-.010650856,.026815591,.0021370498
23801,Davenport,.42273232,-.00028067411,.030559914,.0037315635
23802,Clinton,.47685465,.0048117461,.035252281,.0010148309
23900,Peoria,.4029772,-.0012452613,.025625145,.0041918233
24000,Kenosha,.39866754,.0025068233,.014666508,-.00096077588
24100,Milwaukee,.38887858,.00086147297,.017566757,.00088282418
24200,Bourbonnais,.40819308,-.0011724166,.022898089,.0041189631
24300,Chicago,.39687583,.0040493538,.018164618,.002611622
24400,Rockford,.40266114,-.0013935417,.012508059,-.00079074653
24500,Rolla,.40267736,-.0002656345,.02045075,.0025725637
24600,Farmington,.39801443,.0043794578,.023294255,.0012716467
24701,St. Louis,.37841746,.0032095478,.02119018,.0039825891
24702,Mexico,.41866961,.0010913337,.030625829,.0025467973
24801,Jacksonville,.42248791,-.0023869143,.030945005,.00388717
24802,Springfield,.39382622,-.0037412657,.024382045,.0070335539
24900,Edwardsville,.41174316,-.0020540312,.02724907,.0045819199
25000,Quincy,.43085372,-.0045272084,.029228076,.0026906095
25101,Mountain Home,.41447449,-.0015614026,.033087499,.0018202945
25102,West Plains,.42120251,-.0086591691,.032389112,.0015891346
25103,Harrison,.42727408,-.00030330123,.032638259,.0018807066
25104,Heber Springs,.4244287,-.0074277944,.017533414,.0023958026
25105,Batesville,.40844321,-.007427793,.017533414,.0023958981
25200,Henderson,.40686017,-.0074210167,.023145296,-.00096105231
25300,Union City,.38466862,-.0046223029,.018200142,-.0015573226
25401,Paducah,.39391246,-.0036895403,.021609366,.0021631024
25402,Murray,.41059625,-.0024209509,.019736668,.001569353
25500,Centralia,.42517802,-.0021200089,.027888779,.0022335204
25601,Carbondale,.41446754,-.0044743796,.028760856,.0055364361
25602,Harrisburg,.42860731,-.010242196,.030421555,.0059690527
25701,Cape Girardeau,.39188856,.00064140273,.026740551,.0017577433
25702,Poplar Bluff,.38512218,-.00018742085,.0184891,.0032207705
25800,Blytheville,.35027516,-.0062364507,.028242294,.00087354222
25900,Jonesboro,.39444453,-.00060612318,.030304991,-.0013893453
26001,Roseau,.50883836,.013274536,.037571192,.0053396798
26002,Duluth,.44839969,-.0024866872,.025953922,.0086480668
26003,West Cook UT,.50676656,-.00099702214,.017854802,.0054488084
26004,International Falls,.44795677,-.0009970254,.017854802,.005447939
26101,Moberly,.41876823,-.0066290312,.026043423,.001086617
26102,Marshall,.41446167,.001592143,.021729812,.0029397332
26103,Brookfield,.45643675,-.0037138306,.025284676,.0029436811
26104,Trenton,.43295524,.00086172408,.029316777,.0025142229
26105,Polk,.454721,-.0073359748,.029633535,.0028400626
26106,Centerville,.47579783,-.0021076407,.022730388,.0010436067
26107,Kirksville,.44827616,-.0073359744,.029633533,.0028389271
26201,Bismarck,.54196012,.022212822,.053737778,.0087770792
26202,East Grant UT,.66626221,.026887106,.065308794,.010365196
26203,Linton,.60789514,.020179406,.049038682,.0080832466
26204,Steele,.60572362,.020179406,.049038682,.0080830744
26301,Devils Lake,.46873018,-.0017206965,.052032553,.0074408022
26302,Carrington,.54752463,-.0017989223,.05395944,.0073235566
26303,Turtle Mountain UT,.45000219,.016405178,.050315626,.0079529891
26304,Minot,.52983904,.020179406,.049038682,.0080848001
26305,Rugby,.55989242,.010468385,.052037984,.0077476474
26401,Ekalaka,.63084245,.006092608,.047609974,.0088040503
26402,Baker,.58036786,.0043980046,.054005586,.0079741087
26403,Bowman,.66572016,.026887104,.065308794,.010365182
26404,Lemmon,.58590657,.020187868,.058380648,.010144004
26405,Scobey,.58705795,.0043980028,.054005586,.0079740807
26406,Wolf Point,.45698687,.0043980028,.054005586,.0079744477
26407,Plentywood,.56807941,.0043980028,.054005586,.0079741487
26408,Glasgow,.4898831,.0043980028,.054005586,.0079744374
26409,Glendive,.57553881,.0081455195,.056936242,.0083726943
26410,Dickinson,.62131923,.026887104,.065308794,.010364977
26411,Sidney,.58801216,.015283046,.056434698,.0086360555
26412,Williston,.58837128,.026264867,.063702457,.010153435
26501,Brookings,.53456002,.0078734057,.030891383,.0039009931
26502,Madison,.55365568,.0078734057,.030891383,.0039011915
26503,Sioux Falls,.47214764,.018830141,.030278312,.0022247126
26504,Watertown,.51958799,.0078734057,.030891383,.0039009976
26601,Milbank,.5657472,.0057856436,.033839986,.0047515421
26602,Sisseton,.48570594,.0076877237,.046382867,.0053229393
26603,East Corson UT,.42861927,.017918335,.055641603,.010069126
26604,Mobridge,.52100903,.0076877237,.046382867,.0053227479
26605,Aberdeen,.53342444,.0076877237,.046382867,.0053234007
26701,Bemidji,.46881929,.0091972044,.038859379,.0063103922
26702,Grafton,.55049443,.0011576916,.043657731,.0074295099
26703,Thief River Falls,.5494566,.014330958,.037217841,.0050881598
26704,Grand Forks,.50271112,.0030512973,.041367188,.007192608
26801,Fargo,.50802952,.019828727,.038643423,.0053458186
26802,Lisbon,.56092602,-.0017989224,.05395944,.0073235543
26803,Jamestown,.5384174,-.0017989239,.05395944,.0073235477
26804,Cooperstown,.57923216,-.0017989234,.05395944,.0073235589
26901,Fergus Falls,.52606326,.0060840957,.037808295,.0045177233
26902,Little Falls,.51568621,.011485763,.040715899,.0020386102
27001,O'Neill,.56487352,-.00070002518,.04017891,.0068618688
27002,Ord,.55778074,.013190154,.029238814,.005006725
27003,Ainsworth,.55727744,-.001491102,.040867016,.0069675972
27004,Winner,.54837787,.0051492625,.038204066,.0056115412
27005,Yankton,.54866612,.018239006,.042336822,.0030032974
27006,Mitchell,.51565647,.0051492611,.038204066,.0056119054
27007,Huron,.49952805,.0076877237,.046382867,.0053229174
27008,Parkston,.562998,.005149263,.038204066,.0056117531
27009,Chamberlain,.47694567,.0051492625,.038204066,.0056115412
27010,Miller,.57991117,.00688576,.043764703,.0054138796
27011,Pierre,.47059381,.005149263,.038204066,.0056117531
27012,Gettysburg,.55846167,.0080082929,.04081884,.0097423717
27101,Willmar,.5191015,.0020806049,.034791909,.0020535013
27102,Marshall,.53392243,.0017142234,.038344003,.0038597481
27201,Sioux Center,.57913584,.004547297,.030307347,.002978622
27202,Worthington,.52265579,.0053047817,.033462893,.0039653815
27301,Spencer,.53929865,.0029429006,.030128432,.0023599442
27302,Fairmont,.50622755,.0052071521,.033041429,.0038382399
27401,Storm Lake,.53138649,.0021347664,.037870191,.0038452668
27402,Fort Dodge,.48302588,-.0078556901,.034979325,.0026212956
27501,Des Moines,.44864687,.012978936,.030702386,.0035517525
27502,Creston,.47554454,-.0021076414,.022730388,.0010435579
27503,Atlantic,.52484131,-.00076988083,.034235846,.0028512781
27504,Carroll,.54515779,.00056063064,.043252263,.0044105127
27601,Rapid City,.45267501,.0088340612,.037688065,.0073175025
27602,Eagle Butte,.34202397,.0080082929,.04081884,.0097421603
27603,Southwest Jackson UT,.54849821,.0080082947,.04081884,.0097422805
27604,Murdo,.45035246,.0080082929,.04081884,.0097424192
27605,Mission,.34608006,.0080082919,.04081884,.0097420681
27701,Scottsbluff,.48111686,-.0014911027,.040867016,.00696703
27702,Cheyenne,.4523176,.01572106,.042816326,.0078713205
27703,Torrington,.50580299,.022646189,.051295567,.0098101888
27704,Gordon,.44280577,.0049027638,.040524051,.0088346545
27801,Virginia Beach,.51051158,.00035505489,.0352793,.0034456002
27802,Columbus,.52688056,.0003570687,.035945088,.0033801568
27901,Hastings,.5011906,.0077628931,.032879781,.0037413901
